Track Name,Album Name,Artist Name(s),Release Date,Genres
Ho Gaya Hai Tujhko To Pyar Sajna,Remembering Lata Mangeshkar,"Lata Mangeshkar,Udit Narayan",2/18/2022,"ghazal,bollywood,bhajan,hindi pop,marathi pop,desi"
Hai Mera Dil (From Josh),Bollywood Melody Queen (Alka Yagnik),"Alka Yagnik,Udit Narayan",7/1/2016,"bollywood,hindi pop,desi"
Oodhni,Tere Naam,"Udit Narayan,Alka Yagnik",6/28/2003,"bollywood,hindi pop,desi"
Hamne Tumko Dil Ye De Diya,Gunaah (Original Motion Picture Soundtrack),"Anand Raj Anand,Alka Yagnik,Babul Supriyo",7/22/2002,"bollywood,desi,hindi pop,bangla pop"
Tumse Milna,Tere Naam,"Udit Narayan,Alka Yagnik",6/28/2003,"bollywood,hindi pop,desi"
Main Agar Saamne,Raaz (Original Motion Picture Soundtrack),"Abhijeet,Alka Yagnik",2/1/2002,"bollywood,hindi pop,desi"
Dekhne Walon Ne - From ''Chori Chori Chupke Chupke'',Udit Narayan Songs,"Udit Narayan,Alka Yagnik",5/21/2024,"bollywood,hindi pop,desi"
Mujhse Shaadi Karogi,Mujhse Shaadi Karogi,"Sonu Nigam,Udit Narayan,Sunidhi Chauhan",5/31/2004,"kannada pop,bollywood,sandalwood,hindi pop,desi,marathi pop"
Aapke Pyaar Mein Hum,Raaz (Original Motion Picture Soundtrack),Alka Yagnik,2/1/2002,"bollywood,hindi pop,desi"
Jo Bhi Kasmein,Raaz (Original Motion Picture Soundtrack),"Alka Yagnik,Udit Narayan",2/1/2002,"bollywood,hindi pop,desi"
Bin Tere Sanam (From Yaara Dildara),My Best Collection - Udit Narayan,"Udit Narayan,Kavita Krishnamurthy",7/1/2016,"bollywood,hindi pop,desi,gujarati garba,bhajan"
Gali Mein Chand (Happy),Alka Yagnik Ke Nagme,Alka Yagnik,3/1/2023,"bollywood,hindi pop,desi"
Suno Na Suno Na (From Chalte Chalte),Romantic Hits Of Abhijeet Bhattacharya,Abhijeet,2/4/2025,"bollywood,hindi pop"
Kyon Ki Itna Pyar,Kyon Ki - It's Fate,"Udit Narayan,Alka Yagnik",9/16/2005,"bollywood,hindi pop,desi"
Tere Naam (From Tere Naam),Best Of Udit Narayan,"Udit Narayan,Alka Yagnik",1/4/2025,"bollywood,hindi pop,desi"
Kitna Pyaara Hai,Raaz (Original Motion Picture Soundtrack),"Alka Yagnik,Udit Narayan",2/1/2002,"bollywood,hindi pop,desi"
Rab Kare,Mujhse Shaadi Karogi,"Udit Narayan,Alka Yagnik",5/31/2004,"bollywood,hindi pop,desi"
Aksar Is Duniya Mein (From Dhadkan),Bollywood Actresses,Alka Yagnik,4/25/2016,"bollywood,hindi pop,desi"
Chalte Chalte,Chalte Chalte,"Abhijeet,Alka Yagnik",5/3/2003,"bollywood,hindi pop,desi"
Hum Yaar Hai Tumhare,Haan Maine Bhi Pyaar Kiya (Original Motion Picture Soundtrack),"Udit Narayan,Alka Yagnik",12/29/2002,"bollywood,hindi pop,desi"
