Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4ZNofOs5FgcrbmbJw3QDW8,Commentry Tabassum And O Sathi Chal - Seeta Aur Geeta,Flash Back - Asha Bhosle With Tabassum,"Tabassum,Asha Bhosle,R. D. Burman",1/12/2011,273160,46,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:19:29Z,"ghazal,marathi pop,bangla pop,bollywood,hindi pop",Saregama,0.417,0.637,2,-6.96,1,0.16,0.863,0.00169,0.106,0.814,88.589,4
0hakpZPreetqXFMTaCIHf7,Gore Rang Pe Itna Gumaan Na Kar - From Roti,Kishore Kumar Best Songs,"Kishore Kumar,Lata Mangeshkar",7/25/2024,287715,31,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:19:38Z,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop",Universal Music India Pvt Ltd.,0.457,0.776,10,-4.904,0,0.0683,0.791,0,0.167,0.831,76.085,4
7eMALavv9CgU8R7ETPtDNK,Kitna Haseen Chehra (From Dilwale),"Bollywood Best Trio - Kumar Sanu, Nadeem - Shravan",Kumar Sanu,7/1/2016,354455,57,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:19:51Z,"bollywood,hindi pop",Ishtar Music Pvt. Ltd.,0.455,0.823,0,-9.182,0,0.0352,0.325,0.0000189,0.225,0.949,154.841,4
6MZCYPT3hZPzwJGLnXn1RF,Bade Achhe Lagte Hain,Balika Badhu,"Amit Kumar,R. D. Burman",3/15/1976,312080,58,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:20:07Z,"bollywood,ghazal,bangla pop,hindi pop",Saregama,0.378,0.146,6,-15.412,1,0.0403,0.897,0.0000162,0.122,0.178,138.649,3
5lIUOSw4sORid01JwghhQ5,Dil To Hai Dil,Muqaddar Ka Sikandar,"Lata Mangeshkar,Kalyanji-Anandji",10/27/1978,247791,46,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:20:21Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.391,0.63,5,-7.7,1,0.0341,0.698,0.000001,0.0875,0.67,110.578,4
1CwKa1P72a68kk2C6PC5T5,Ek Sanam Chahiye Aashiqui Ke Liye (From Aashiqui),Dheere Dheere Se - The Era Of Kumar Sanu,Kumar Sanu,10/17/2018,372693,52,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:21:00Z,"bollywood,hindi pop",T-Series,0.36,0.697,0,-8.213,1,0.0442,0.846,0.0225,0.173,0.634,150.962,3
5ym3woyJq2177LnpTUwBoy,Dil Deewana,Maine Pyar Kiya,S. P. Balasubrahmanyam,12/29/1989,321381,46,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:21:24Z,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood",Saregama,0.476,0.603,8,-6.16,1,0.0323,0.831,0.0000195,0.0878,0.555,82.055,4
6jsh1e9MRqbfy8tI38f71k,Wada Karo - From Aa Gale Lag Jaa,"The Golden Years, Vol. 1","Kishore Kumar,Lata Mangeshkar,R. D. Burman",1/1/2013,311266,37,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:22:29Z,"bangla pop,ghazal,hindi pop,bollywood,bhajan,marathi pop",Universal Music India Pvt Ltd.,0.374,0.66,7,-6.223,0,0.0401,0.764,0.00000755,0.486,0.525,87.394,4
00KSN0qtGSeYX9qFClCEcg,Tum Dil Ki Dhadkan Mein (From Dhadkan),Sensational Duets (Abhijeet & Alka Yagnik),Abhijeet,7/1/2016,351425,58,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:22:43Z,"bollywood,hindi pop",Ishtar Music Pvt. Ltd.,0.365,0.449,0,-13.516,1,0.0356,0.662,0.00000246,0.153,0.556,103.643,1
23ChXkvEEjCa2V3BcD8e9N,Jhilmil Sitaron Ka Angan Hoga,"Baarishein, Chai Aur Rafi","Lata Mangeshkar,Mohammed Rafi",7/12/2023,328693,33,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:23:01Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama India Ltd,0.354,0.616,7,-11.288,1,0.0888,0.81,0.425,0.657,0.599,143.769,4
6XHGdm4kC51tydnWaUqtZi,Kaun Disha Mein Leke Chala,Nadiya Ke Paar,"Jaspal Singh,Hemlata",1/1/1982,412080,54,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:23:16Z,"bhajan,bhojiwood,devotional,bhojpuri pop,ghazal",Saregama,0.452,0.528,7,-10.405,0,0.0515,0.648,0,0.164,0.752,88.92,4
6yTtUUlsBXN9h9ZxTxGWMS,Bahut Pyar Karte Hai - Male Version,Saajan (Original Motion Picture Soundtrack),S. P. Balasubrahmanyam,6/20/1993,185400,48,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:25:38Z,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood",Ishtar Music Pvt. Ltd.,0.505,0.518,4,-12.073,0,0.0328,0.229,0,0.17,0.751,123.8,4
5LrCiTYu4iTjgUXM758Igj,Hai Apna Dil To Aawara (Happy),"Baarishein, Chai Aur Hemant Kumar",Hemant Kumar,7/12/2023,261825,52,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:25:56Z,"bangla pop,ghazal,marathi pop",Saregama India Ltd,0.605,0.469,6,-10.606,1,0.0571,0.572,0.000948,0.59,0.934,110.457,4
1dSJi0zXKYtW37Fm6M5bJV,Kitna Pyara Wada Hai,#HumForLataDidi,"Lata Mangeshkar,Mohammed Rafi",2/3/2023,313933,41,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:26:41Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.38,0.593,6,-6.657,1,0.0417,0.842,0.000529,0.774,0.688,92.239,4
7n278iHoD21kun2OymTABC,Tumse Milne Ki Tamanna Hai,Saajan (Original Motion Picture Soundtrack),S. P. Balasubrahmanyam,6/20/1993,329986,57,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:27:27Z,"kannada pop,telugu pop,tamil pop,devotional,tollywood,sandalwood,kollywood",Ishtar Music Pvt. Ltd.,0.532,0.779,9,-11.326,0,0.0622,0.241,0,0.154,0.671,119.735,4
4wTCkMHovw8OQ9xs3sjaWM,Jeena Nahi,Tezaab,"Amit Kumar,Anuradha Paudwal",6/10/1988,477226,52,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:27:48Z,"bollywood,bhajan,devotional,marathi pop,ghazal,hindi pop",T-Series,0.432,0.557,10,-10.139,0,0.0335,0.863,0.00857,0.288,0.534,103.32,4
41o3yT1TB8lnwzk3Ne5SSw,"O Jaana Na Jaana, Pt. 1",Jab Pyaar Kisise Hota Hai (Original Motion Picture Soundtrack),"Kumar Sanu,Lata Mangeshkar",5/22/1998,263920,47,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:28:28Z,"bollywood,hindi pop,ghazal,bhajan,marathi pop",Tips Industries Ltd,0.613,0.709,0,-9.954,1,0.0541,0.213,0.0000108,0.134,0.759,128.128,4
6DuEwqeZzkPJlczCKPq1VD,Chup Gaye Sare Nazare,Do Raaste,"Lata Mangeshkar,Mohammed Rafi,Laxmikant–Pyarelal",12/5/1969,329274,46,31xenvtkitu6a356z43dlsw7xrwm,2025-02-22T13:29:43Z,"ghazal,bollywood,bhajan,hindi pop,marathi pop",Saregama,0.395,0.547,3,-9.1,0,0.0931,0.956,0.0395,0.119,0.588,80.219,4
